Distance (ly),Distance (ly) adj,Constellation,RA,Dec,Stellarclass,Mass,Apparent magnitude (v),Apparent magnitude (j),Parallax(mas),Parallax(mas) adj,System,StarName,Notes and additional references,Planets
,,,,,M4 V,0.24,11.50,12.60,,,"HR 7703 (279 G. Sagittarii, HD 191408, Gliese 783, IRAS 20079-3614)",B,,
19.7045,±0.0093,Eri,03h 19m 55.7s,−43° 04′ 11″,G8 V,0.70,4.26#,5.35,165.5242,±0.0784,"82 G. Eridani (e Eridani, Gliese 139, HD 20794)$",,,"has 3 confirmed planets, 3 candidate planets, hot and cold dust disks"
19.7414,±0.0076,Aur*,07h 10m 01.8s,38° 31′ 46″,M4.5 V,226,12.05,13.14,165.2147,±0.0636,"Gliese 268 (Ross 986, QY Aurigae)",A,,
,,,,,M V,192,12.45,13.54,,,"Gliese 268 (Ross 986, QY Aurigae)",B,,
19.893,±0.015,Pav,20h 08m 43.6s,−66° 10′ 55″,G8 IV,1051,3.55#,4.62,163.9544,±0.1222,Delta Pavonis$,,,has 1 candidate planet
19.955,±0.057,Psc,01h 36m 56.5s,+09° 33′ 47″,T2.5,12,13.25 J,14.32 J,163.4478,±0.4629,SIMP0136§,,,"rogue planet, 12.7 MJ"
19.96,±0.22,Leo,09h 37m 34.9s,29° 31′ 41″,T7,40,14.65 J,15.71 J,163.39,±1.76,2MASS 0937+2931§,,,
20.1062,±0.0028,Telescopium,20h 13m 53.4s,−45° 09′ 50″,M0V,,7.97,,,,Gliese 784 (HD 191849),,, has 1 candidate planet
20.17,±0.25,Pegasus*,22h 09m 05.7s,+27° 11′ 44″,Y0,,,,161.7,±2.0,WISE J2209+2711§,,,
20.2588,±0.0015,Draco,17h 48m 08.2s,+70° 52′ 35″,DXP9,,14.22,,160.9952,±0.0119,"G 240-72 (LHS 455, GJ 1221, EGGR 372)‡",,,
20.3947,±0.0070,Libra,14h 34m 16.8s,−12° 31′ 10″,M4.0V,,10.3–10.33,,159.9225,±0.0546,"Gliese 555 (Wolf 1481, HN Librae, BD-11 3759)",, BY Draconis variable, has 1 unconfirmed planet
20.4277,±0.0044,Pegasus,23h 31m 52.2s,+19° 56′ 14″,M3.5V,,10.35,,159.6634,±0.0341,"EQ Pegasi (Gliese 896, BD+19 5116)",A, both components are flare stars, has 1 known planet orbiting star A of the binary system 
,,,,,M4.5V,,12.4,,,,"EQ Pegasi (Gliese 896, BD+19 5116)",B,,
20.5494,±0.0039,Libra,15h 19m 26.8s,−07° 43′ 20″,M3.0V,,10.56–10.58,,158.7183,±0.0301,"Gliese 581 (Wolf 562, HO Librae)",, BY Draconis variable, has 3 known planets
20.62,±0.34,Ursa Major,14h 05m 18.3s,+55° 34′ 21″,Y0.5,,,,158.2,±2.6,WISE 1405+5534§,,,
20.6575,±0.0026,Ursa Major,09h 14m 22.8s,+52° 41′ 12″,M0V,,7.64,,157.8879,±0.0197,"ADS 7251 (HD 79210, Gliese 338, MCC 541)",A,, has 1 known planet orbiting star B of the binary system
,,,,,K7V,,7.70,,,,"ADS 7251 (HD 79210, Gliese 338, MCC 541)",B,,
20.7388,±0.0071,Cancer,09h 00m 23.6s,+21° 50′ 05″,M6.5V,,16.10,,157.2686,±0.0535,LHS 2090 (LP 368-128),,,
20.82,±0.18,Hercules,17h 12m 07.9s,+45° 39′ 57″,M3 V,,9.93,,156.66,±1.37,"Furuhjelm 46 (HD 155876, Gliese 661)",A,,
,,,,,M3.5 V,,10.35,,,,"Furuhjelm 46 (HD 155876, Gliese 661)",B,,
20.94,±0.10,Boötes,15h 03m 19.6s,+25° 25′ 20″,T5.5,,,,155.7758,±0.7557,2MASS 1503+2525§,,,
20.9615,±0.0070,Fornax*,03h 39m 35.2s,–35° 25′ 44″,M9V,,18.69,,155.5982,±0.0522,LP 944-20§,,,
21.0102,±0.0024,Orion,05h 55m 09.5s,−04° 10′ 07″,DZ11,,14.45,,155.2373,±0.0175,LP 658-2 (EGGR 45)‡,,,
